"","Treatment","Location","Col","Row","plot","Block","RIL","DAYS_TILL_BUDDING","GDD_TILL_BUDDING"
"99","SD","SH",8,15,226,2,"RIL128",129,830.093477125941
"100","SD","SH",9,56,56,3,"RIL129",129,830.093477125941
"101","SD","SH",1,57,57,1,"RIL129",129,830.093477125941
"102","SD","SH",8,8,233,2,"RIL129",115,758.987707190998
"103","SD","SH",5,1,1,2,"RIL13",NA,NA
"104","SD","SH",1,39,39,1,"RIL13",NA,NA
"105","SD","SH",12,33,208,3,"RIL13",143,923.559794892983
"106","SD","SH",5,7,7,2,"RIL130",NA,NA
"107","SD","SH",1,48,48,1,"RIL130",157,1031.12958829401
"108","SD","SH",10,51,70,3,"RIL130",164,1071.14039076315
"109","SD","SH",5,49,49,2,"RIL131",171,1103.76693397302
"110","SD","SH",10,53,68,3,"RIL131",171,1103.76693397302
"111","SD","SH",4,59,182,1,"RIL131",171,1103.76693397302
"112","SD","SH",9,15,15,3,"RIL132",129,830.093477125941
"113","SD","SH",5,45,45,2,"RIL132",143,923.559794892983
"114","SD","SH",2,24,97,1,"RIL132",136,871.704856621379
"115","SD","SH",1,19,19,1,"RIL133",108,718.092904261775
"116","SD","SH",10,15,106,3,"RIL133",108,718.092904261775
"117","SD","SH",8,7,234,2,"RIL133",108,718.092904261775
"118","SD","SH",6,40,81,2,"RIL134",129,830.093477125941
"119","SD","SH",2,39,82,1,"RIL134",122,789.755883663934
"120","SD","SH",12,49,192,3,"RIL134",129,830.093477125941
"121","SD","SH",2,45,76,1,"RIL135",122,789.755883663934
"122","SD","SH",6,6,115,2,"RIL135",NA,NA
"123","SD","SH",11,59,179,3,"RIL135",NA,NA
"124","SD","SH",6,11,110,2,"RIL136",108,718.092904261775
"125","SD","SH",3,34,154,1,"RIL136",115,758.987707190998
"126","SD","SH",11,52,172,3,"RIL136",122,789.755883663934
"127","SD","SH",1,37,37,1,"RIL137",143,923.559794892983
"128","SD","SH",7,38,158,2,"RIL137",157,1031.12958829401
"129","SD","SH",12,44,197,3,"RIL137",157,1031.12958829401
"130","SD","SH",6,59,62,2,"RIL138",143,923.559794892983
"131","SD","SH",2,42,79,1,"RIL138",136,871.704856621379
"132","SD","SH",11,35,155,3,"RIL138",136,871.704856621379
"133","SD","SH",9,38,38,3,"RIL139",115,758.987707190998
"134","SD","SH",5,44,44,2,"RIL139",136,871.704856621379
"135","SD","SH",1,56,56,1,"RIL139",115,758.987707190998
"136","SD","SH",1,26,26,1,"RIL14",101,709.064735947443
"137","SD","SH",10,16,105,3,"RIL14",101,709.064735947443
"138","SD","SH",7,32,152,2,"RIL14",101,709.064735947443
"139","SD","SH",1,36,36,1,"RIL140",122,789.755883663934
"140","SD","SH",6,32,89,2,"RIL140",136,871.704856621379
"141","SD","SH",12,53,188,3,"RIL140",136,871.704856621379
"142","SD","SH",1,35,35,1,"RIL141",122,789.755883663934
"143","SD","SH",10,39,82,3,"RIL141",122,789.755883663934
"144","SD","SH",6,30,91,2,"RIL141",115,758.987707190998
"145","SD","SH",9,48,48,3,"RIL142",150,983.555165263354
"146","SD","SH",6,29,92,2,"RIL142",NA,NA
"147","SD","SH",4,5,236,1,"RIL142",NA,NA
"148","SD","SH",9,44,44,3,"RIL143",108,718.092904261775
"149","SD","SH",5,57,57,2,"RIL143",115,758.987707190998
"150","SD","SH",4,44,197,1,"RIL143",122,789.755883663934
"151","SD","SH",5,34,34,2,"RIL144",129,830.093477125941
"152","SD","SH",3,5,125,1,"RIL144",129,830.093477125941
"153","SD","SH",11,10,130,3,"RIL144",108,718.092904261775
"154","SD","SH",6,47,74,2,"RIL145",108,718.092904261775
"155","SD","SH",4,33,208,1,"RIL145",101,709.064735947443
"156","SD","SH",12,6,235,3,"RIL145",108,718.092904261775
"157","SD","SH",6,54,67,2,"RIL146",101,709.064735947443
"158","SD","SH",2,7,114,1,"RIL146",94,687.672002591474
"159","SD","SH",11,1,121,3,"RIL146",94,687.672002591474
"160","SD","SH",10,29,92,3,"RIL147",136,871.704856621379
"161","SD","SH",2,28,93,1,"RIL147",129,830.093477125941
"162","SD","SH",7,40,160,2,"RIL147",136,871.704856621379
"163","SD","SH",1,15,15,1,"RIL148",129,830.093477125941
"164","SD","SH",11,9,129,3,"RIL148",122,789.755883663934
"165","SD","SH",8,13,228,2,"RIL148",115,758.987707190998
"166","SD","SH",2,54,67,1,"RIL149",122,789.755883663934
"167","SD","SH",7,11,131,2,"RIL149",122,789.755883663934
"168","SD","SH",11,50,170,3,"RIL149",129,830.093477125941
"169","SD","SH",10,52,69,3,"RIL15",157,1031.12958829401
"170","SD","SH",3,20,140,1,"RIL15",136,871.704856621379
"171","SD","SH",8,31,210,2,"RIL15",150,983.555165263354
"172","SD","SH",5,10,10,2,"RIL150",143,923.559794892983
"173","SD","SH",1,33,33,1,"RIL150",164,1071.14039076315
"174","SD","SH",10,47,74,3,"RIL150",171,1103.76693397302
"175","SD","SH",1,6,6,1,"RIL151",122,789.755883663934
"176","SD","SH",11,6,126,3,"RIL151",122,789.755883663934
"177","SD","SH",7,56,176,2,"RIL151",136,871.704856621379
"178","SD","SH",2,58,63,1,"RIL152",164,1071.14039076315
"179","SD","SH",7,37,157,2,"RIL152",164,1071.14039076315
"180","SD","SH",12,56,185,3,"RIL152",164,1071.14039076315
"181","SD","SH",10,28,93,3,"RIL153",171,1103.76693397302
"182","SD","SH",6,21,100,2,"RIL153",143,923.559794892983
"183","SD","SH",3,26,146,1,"RIL153",164,1071.14039076315
"184","SD","SH",1,21,21,1,"RIL154",115,758.987707190998
"185","SD","SH",9,55,55,3,"RIL154",122,789.755883663934
"186","SD","SH",7,57,177,2,"RIL154",136,871.704856621379
"187","SD","SH",1,5,5,1,"RIL155",108,718.092904261775
"188","SD","SH",7,21,141,2,"RIL155",129,830.093477125941
"189","SD","SH",12,42,199,3,"RIL155",129,830.093477125941
"190","SD","SH",9,19,19,3,"RIL156",108,718.092904261775
"191","SD","SH",8,42,199,2,"RIL156",115,758.987707190998
"192","SD","SH",4,21,220,1,"RIL156",108,718.092904261775
"193","SD","SH",1,3,3,1,"RIL157",129,830.093477125941
"194","SD","SH",12,43,198,3,"RIL157",143,923.559794892983
"195","SD","SH",8,23,218,2,"RIL157",129,830.093477125941
"196","SD","SH",1,42,42,1,"RIL158",136,871.704856621379
"197","SD","SH",6,43,78,2,"RIL158",129,830.093477125941
"198","SD","SH",11,48,168,3,"RIL158",136,871.704856621379
"199","SD","SH",7,6,126,2,"RIL159",115,758.987707190998
"200","SD","SH",11,29,149,3,"RIL159",122,789.755883663934
"201","SD","SH",3,31,151,1,"RIL159",122,789.755883663934
"202","SD","SH",1,12,12,1,"RIL16",122,789.755883663934
"203","SD","SH",9,28,28,3,"RIL16",143,923.559794892983
"204","SD","SH",8,18,223,2,"RIL16",136,871.704856621379
"205","SD","SH",5,35,35,2,"RIL160",150,983.555165263354
"206","SD","SH",11,41,161,3,"RIL160",150,983.555165263354
"207","SD","SH",3,49,169,1,"RIL160",157,1031.12958829401
"208","SD","SH",1,22,22,1,"RIL161",115,758.987707190998
"209","SD","SH",10,37,84,3,"RIL161",101,709.064735947443
"210","SD","SH",8,46,195,2,"RIL161",129,830.093477125941
"211","SD","SH",5,23,23,2,"RIL162",143,923.559794892983
"212","SD","SH",2,15,106,1,"RIL162",136,871.704856621379
"213","SD","SH",10,10,111,3,"RIL162",NA,NA
"214","SD","SH",1,17,17,1,"RIL163",108,718.092904261775
"215","SD","SH",11,21,141,3,"RIL163",115,758.987707190998
"216","SD","SH",8,11,230,2,"RIL163",122,789.755883663934
"217","SD","SH",10,8,113,3,"RIL164",157,1031.12958829401
"218","SD","SH",2,1,120,1,"RIL164",122,789.755883663934
"219","SD","SH",8,40,201,2,"RIL164",136,871.704856621379
"220","SD","SH",7,46,166,2,"RIL165",129,830.093477125941
"221","SD","SH",3,58,178,1,"RIL165",143,923.559794892983
"222","SD","SH",12,11,230,3,"RIL165",129,830.093477125941
"223","SD","SH",10,49,72,3,"RIL166",143,923.559794892983
"224","SD","SH",7,12,132,2,"RIL166",143,923.559794892983
"225","SD","SH",3,44,164,1,"RIL166",143,923.559794892983
"226","SD","SH",7,22,142,2,"RIL167",NA,NA
"227","SD","SH",11,54,174,3,"RIL167",122,789.755883663934
"228","SD","SH",4,30,211,1,"RIL167",115,758.987707190998
"229","SD","SH",7,14,134,2,"RIL168",115,758.987707190998
"230","SD","SH",12,29,212,3,"RIL168",129,830.093477125941
"231","SD","SH",4,20,221,1,"RIL168",NA,NA
"232","SD","SH",6,2,119,2,"RIL169",150,983.555165263354
"233","SD","SH",11,13,133,3,"RIL169",157,1031.12958829401
"234","SD","SH",3,47,167,1,"RIL169",171,1103.76693397302
"235","SD","SH",9,33,33,3,"RIL17",136,871.704856621379
"236","SD","SH",7,47,167,2,"RIL17",143,923.559794892983
"237","SD","SH",4,18,223,1,"RIL17",136,871.704856621379
"238","SD","SH",9,22,22,3,"RIL170",143,923.559794892983
"239","SD","SH",1,49,49,1,"RIL170",150,983.555165263354
"240","SD","SH",6,33,88,2,"RIL170",150,983.555165263354
"241","SD","SH",1,14,14,1,"RIL171",171,1103.76693397302
"242","SD","SH",6,56,65,2,"RIL171",164,1071.14039076315
"243","SD","SH",11,44,164,3,"RIL171",178,1140.32866236809
"244","SD","SH",1,27,27,1,"RIL172",NA,NA
"245","SD","SH",11,5,125,3,"RIL172",122,789.755883663934
"246","SD","SH",8,38,203,2,"RIL172",143,923.559794892983
"247","SD","SH",6,35,86,2,"RIL173",NA,NA
"248","SD","SH",2,31,90,1,"RIL173",101,709.064735947443
"249","SD","SH",12,17,224,3,"RIL173",115,758.987707190998
"250","SD","SH",2,25,96,1,"RIL174",122,789.755883663934
"251","SD","SH",7,13,133,2,"RIL174",NA,NA
"252","SD","SH",12,60,181,3,"RIL174",136,871.704856621379
"253","SD","SH",5,55,55,2,"RIL175",150,983.555165263354
"254","SD","SH",9,59,59,3,"RIL175",NA,NA
"255","SD","SH",3,27,147,1,"RIL175",136,871.704856621379
"256","SD","SH",6,52,69,2,"RIL176",108,718.092904261775
"257","SD","SH",10,25,96,3,"RIL176",101,709.064735947443
"258","SD","SH",3,55,175,1,"RIL176",NA,NA
"259","SD","SH",5,24,24,2,"RIL177",115,758.987707190998
"260","SD","SH",11,33,153,3,"RIL177",101,709.064735947443
"261","SD","SH",4,54,187,1,"RIL177",108,718.092904261775
"262","SD","SH",5,14,14,2,"RIL178",101,709.064735947443
"263","SD","SH",2,41,80,1,"RIL178",108,718.092904261775
"264","SD","SH",11,34,154,3,"RIL178",108,718.092904261775
"265","SD","SH",9,3,3,3,"RIL179",115,758.987707190998
"266","SD","SH",2,30,91,1,"RIL179",NA,NA
"267","SD","SH",8,47,194,2,"RIL179",136,871.704856621379
"268","SD","SH",1,2,2,1,"RIL18",108,718.092904261775
"269","SD","SH",11,11,131,3,"RIL18",115,758.987707190998
"270","SD","SH",8,58,183,2,"RIL18",NA,NA
"271","SD","SH",5,29,29,2,"RIL180",143,923.559794892983
"272","SD","SH",11,18,138,3,"RIL180",157,1031.12958829401
"273","SD","SH",3,30,150,1,"RIL180",NA,NA
"274","SD","SH",5,18,18,2,"RIL181",129,830.093477125941
"275","SD","SH",10,54,67,3,"RIL181",129,830.093477125941
"276","SD","SH",4,19,222,1,"RIL181",129,830.093477125941
"277","SD","SH",6,41,80,2,"RIL182",150,983.555165263354
"278","SD","SH",2,27,94,1,"RIL182",143,923.559794892983
"279","SD","SH",11,22,142,3,"RIL182",143,923.559794892983
"280","SD","SH",1,8,8,1,"RIL183",143,923.559794892983
"281","SD","SH",8,14,227,2,"RIL183",157,1031.12958829401
"282","SD","SH",12,10,231,3,"RIL183",143,923.559794892983
"283","SD","SH",5,15,15,2,"RIL184",122,789.755883663934
"284","SD","SH",1,43,43,1,"RIL184",143,923.559794892983
"285","SD","SH",11,23,143,3,"RIL184",143,923.559794892983
