"","Treatment","Location","Col","Row","plot","Block","RIL","DAYS_TILL_BUDDING","GDD_TILL_BUDDING"
"98","LD","SA",42,21,460,2,"RIL141",77,960.291455535771
"99","LD","SA",30,9,144,1,"RIL142",77,960.291455535771
"100","LD","SA",25,14,365,2,"RIL142",91,1111.52950614213
"101","LD","SA",6,3,36,1,"RIL143",77,960.291455535771
"102","LD","SA",34,20,418,2,"RIL143",77,960.291455535771
"103","LD","SA",38,7,188,1,"RIL144",77,960.291455535771
"104","LD","SA",45,19,465,2,"RIL144",77,960.291455535771
"105","LD","SA",9,1,41,1,"RIL145",77,960.291455535771
"106","LD","SA",18,17,332,2,"RIL145",77,960.291455535771
"107","LD","SA",2,5,10,1,"RIL146",70,884.477299169934
"108","LD","SA",5,19,265,2,"RIL146",70,884.477299169934
"109","LD","SA",30,4,154,1,"RIL147",84,1038.0575228229
"110","LD","SA",38,13,438,2,"RIL147",84,1038.0575228229
"111","LD","SA",18,7,94,1,"RIL148",77,960.291455535771
"112","LD","SA",1,17,251,2,"RIL148",84,1038.0575228229
"113","LD","SA",6,9,24,1,"RIL149",84,1038.0575228229
"114","LD","SA",46,19,466,2,"RIL149",70,884.477299169934
"115","LD","SA",5,10,21,1,"RIL15",77,960.291455535771
"116","LD","SA",46,16,472,2,"RIL15",77,960.291455535771
"117","LD","SA",25,5,129,1,"RIL150",98,1189.59619232065
"118","LD","SA",22,13,358,2,"RIL150",91,1111.52950614213
"119","LD","SA",41,3,205,1,"RIL151",77,960.291455535771
"120","LD","SA",34,15,408,2,"RIL151",77,960.291455535771
"121","LD","SA",22,8,106,1,"RIL152",77,960.291455535771
"122","LD","SA",2,18,254,2,"RIL152",84,1038.0575228229
"123","LD","SA",34,9,178,1,"RIL153",84,1038.0575228229
"124","LD","SA",37,15,433,2,"RIL153",91,1111.52950614213
"125","LD","SA",6,2,38,1,"RIL154",77,960.291455535771
"126","LD","SA",10,16,290,2,"RIL154",84,1038.0575228229
"127","LD","SA",18,5,90,1,"RIL155",77,960.291455535771
"128","LD","SA",9,12,281,2,"RIL155",84,1038.0575228229
"129","LD","SA",25,9,137,1,"RIL156",70,884.477299169934
"130","LD","SA",9,17,291,2,"RIL156",77,960.291455535771
"131","LD","SA",6,1,40,1,"RIL157",77,960.291455535771
"132","LD","SA",13,13,317,2,"RIL157",77,960.291455535771
"133","LD","SA",14,8,66,1,"RIL158",77,960.291455535771
"134","LD","SA",1,20,257,2,"RIL158",77,960.291455535771
"135","LD","SA",46,8,226,1,"RIL159",77,960.291455535771
"136","LD","SA",21,17,349,2,"RIL159",77,960.291455535771
"137","LD","SA",25,6,131,1,"RIL16",77,960.291455535771
"138","LD","SA",13,20,303,2,"RIL16",84,1038.0575228229
"139","LD","SA",6,7,28,1,"RIL160",77,960.291455535771
"140","LD","SA",26,12,362,2,"RIL160",84,1038.0575228229
"141","LD","SA",21,5,111,1,"RIL161",77,960.291455535771
"142","LD","SA",14,14,316,2,"RIL161",77,960.291455535771
"143","LD","SA",13,10,61,1,"RIL162",77,960.291455535771
"144","LD","SA",10,17,292,2,"RIL162",77,960.291455535771
"145","LD","SA",42,9,218,1,"RIL163",77,960.291455535771
"146","LD","SA",1,21,259,2,"RIL163",84,1038.0575228229
"147","LD","SA",10,4,48,1,"RIL164",77,960.291455535771
"148","LD","SA",9,15,287,2,"RIL164",84,1038.0575228229
"149","LD","SA",14,7,68,1,"RIL165",91,1111.52950614213
"150","LD","SA",1,12,241,2,"RIL165",84,1038.0575228229
"151","LD","SA",10,10,60,1,"RIL166",77,960.291455535771
"152","LD","SA",41,15,447,2,"RIL166",77,960.291455535771
"153","LD","SA",5,5,31,1,"RIL167",77,960.291455535771
"154","LD","SA",45,12,479,2,"RIL167",70,884.477299169934
"155","LD","SA",38,5,192,1,"RIL168",77,960.291455535771
"156","LD","SA",6,21,262,2,"RIL168",84,1038.0575228229
"157","LD","SA",1,9,17,1,"RIL169",70,884.477299169934
